,ticker_symbol,date,total_score,environment_score,social_score,governance_score
0,DIS,2022-04-19,1147,510,316,321
1,GM,2022-04-17,1068,510,303,255
2,GWW,2022-04-19,880,255,385,240
3,MHK,2022-04-18,1171,570,298,303
4,LYV,2022-04-18,1052,492,310,250
5,LVS,2022-04-18,1178,547,318,313
6,CLX,2022-04-16,1255,560,350,345
7,AACG,2022-07-01,608,203,200,205
8,AAL,2022-04-16,746,270,211,265
9,AAME,2022-04-16,741,220,221,300
10,AAOI,2022-04-16,785,311,256,218
11,AAON,2022-04-16,1023,500,300,223
12,AAPL,2022-04-16,891,355,281,255
13,AATC,2022-06-11,936,410,286,240
14,AADI,2022-06-11,604,200,201,203
15,ABEO,2022-04-16,821,205,306,310
16,ABNB,2022-06-10,1475,505,570,400
17,ABIO,2022-04-16,712,200,222,290
18,ABOS,2022-06-11,606,205,201,200
19,ABSI,2022-06-11,659,205,224,230
20,ABUS,2022-04-16,745,203,204,338
21,ABVC,2022-06-11,637,220,212,205
22,ACAD,2022-04-16,765,230,230,305
23,ACAC,2022-06-10,705,200,205,300
24,ACCD,2022-06-10,744,255,254,235
25,ACET,2022-04-16,731,215,211,305
26,ABCL,2022-06-10,1239,540,354,345
27,ABCB,2022-04-16,840,290,300,250
28,ACHL,2022-06-10,803,230,288,285
29,ACHC,2022-04-16,781,330,231,220
30,ACIW,2022-04-16,1127,500,327,300
31,ACLS,2022-04-16,1081,515,306,260
32,ACIU,2022-04-16,851,250,296,305
33,ACHV,2022-06-10,742,215,222,305
34,ACMR,2022-06-10,967,410,232,325
35,ACNB,2022-04-16,654,220,219,215
36,ACRS,2022-04-16,657,230,207,220
37,ACT,2022-04-20,1183,540,328,315
38,ACTG,2022-04-16,675,200,200,275
39,ACVA,2022-06-10,812,235,262,315
40,ADAG,2022-06-10,901,295,301,305
41,ACXP,2022-06-11,841,235,301,305
42,ADBE,2022-04-16,621,200,221,200
43,ADAP,2022-04-16,953,365,283,305
44,ADMA,2022-04-16,824,240,264,320
45,ADI,2022-04-16,968,350,318,300
46,ADIL,2022-06-10,703,200,203,300
47,ADUS,2022-04-16,643,210,215,218
48,ACGL,2022-04-16,1100,500,300,300
49,ADPT,2022-04-16,868,260,348,260
50,ADSK,2022-04-16,1169,555,304,310
51,ADP,2022-07-25,1000,500,300,200
52,ADTX,2022-06-10,739,210,224,305
53,ADV,2022-04-20,1112,515,269,328
54,ADVM,2022-04-16,818,262,321,235
55,AEHR,2022-04-16,852,290,262,300
56,AEHL,2022-06-10,800,238,237,325
57,AEI,2022-04-20,937,520,207,210
58,AEIS,2022-04-16,1100,500,300,300
59,AEP,2022-04-20,1100,500,300,300
60,AEMD,2022-04-16,777,200,262,315
61,AEYE,2022-04-16,844,235,301,308
62,AFMD,2022-04-16,982,368,304,310
63,AFCG,2022-06-10,685,255,204,226
64,AFBI,2022-06-10,607,200,207,200
65,AFRM,2022-06-10,895,225,335,335
66,AFIB,2022-06-10,651,205,211,235
67,AGEN,2022-04-16,835,290,245,300
68,AFYA,2022-06-10,698,290,203,205
69,AGFY,2022-06-10,1206,540,361,305
70,AGMH,2022-06-10,619,205,204,210
71,AGIO,2022-04-16,1148,520,303,325
72,AGNC,2022-04-16,929,382,242,305
73,AGRI,2022-06-11,1063,510,248,305
74,AGRX,2022-04-16,703,240,203,260
75,AGYS,2022-04-16,1103,500,303,300
76,AHCO,2022-06-10,656,210,211,235
77,ADTN,2022-04-16,1118,510,308,300
78,ADN,2022-04-20,673,250,203,220
79,AIP,2022-06-07,1086,500,286,300
80,AKRO,2022-06-10,801,250,246,305
81,AIRT,2022-04-16,769,234,210,325
82,AKBA,2022-04-16,633,200,218,215
83,AIRG,2022-04-16,1130,500,300,330
84,AIRS,2022-06-11,616,210,201,205
85,AKAM,2022-04-16,1161,515,341,305
86,AKU,2022-04-21,1102,455,347,300
87,AKTS,2022-04-16,952,222,302,428
88,AKTX,2022-04-16,746,225,216,305
89,AKYA,2022-06-10,1030,512,303,215
90,ALCO,2022-04-16,1100,500,300,300
91,ALDX,2022-04-16,727,231,261,235
92,ALEC,2022-06-10,817,240,277,300
93,ALGM,2022-06-10,1106,542,314,250
94,ALF,2022-06-11,800,225,260,315
95,ALGN,2022-04-16,775,235,285,255
96,ALGS,2022-06-10,667,210,222,235
97,ALHC,2022-06-10,768,210,302,256
98,ALKS,2022-04-16,1050,415,302,333
99,ALIM,2022-04-16,691,220,228,243
100,ALGT,2022-04-16,743,287,208,248
101,ALKT,2022-06-10,845,280,305,260
102,ALNY,2022-04-16,1002,331,346,325
103,ALLT,2022-04-16,1142,508,324,310
104,ALLO,2022-06-10,1164,535,324,305
105,AMAT,2022-04-16,1142,525,317,300
106,AMD,2022-04-16,608,200,208,200
107,AVGO,2022-04-16,622,210,212,200
108,ANSS,2022-04-16,1202,580,337,285
109,AMZN,2022-04-16,1433,668,305,460
110,AIHS,2022-06-10,623,220,203,200
111,APA,2022-04-16,1151,510,316,325
112,BIIB,2022-04-16,1047,380,303,364
113,BKNG,2022-06-10,1174,558,306,310
114,CDNS,2022-04-16,1103,500,308,295
115,CDW,2022-04-16,634,225,209,200
116,CHRW,2022-04-16,1243,575,330,338
117,CINF,2022-04-16,760,235,275,250
118,CHTR,2022-04-16,1100,500,300,300
119,CMCSA,2022-04-16,1165,507,343,315
120,CPRT,2022-04-16,679,270,204,205
121,COST,2022-04-16,1068,537,306,225
122,CSX,2022-04-17,1145,510,310,325
123,CTSH,2022-04-16,1270,605,365,300
124,CME,2022-07-26,812,375,237,200
125,CSCO,2022-06-11,734,280,234,220
126,CTAS,2022-04-16,1100,500,300,300
127,CZR,2022-04-16,693,265,228,200
128,DLTR,2022-04-17,658,235,208,215
129,DXCM,2022-04-17,666,215,236,215
130,EA,2022-04-17,885,360,300,225
131,LNT,2022-04-16,1126,519,307,300
132,FANG,2022-04-17,1084,513,271,300
133,EBAY,2022-04-17,1107,500,302,305
134,LKQ,2022-04-18,1120,515,300,305
135,GOOGL,2022-04-30,1012,295,362,355
136,MAR,2022-04-18,630,215,200,215
137,MCHP,2022-04-18,1100,500,300,300
138,LRCX,2022-04-18,1150,510,325,315
139,MDLZ,2022-04-18,1127,520,307,300
140,META,2022-04-22,652,205,232,215
141,MKTX,2022-04-18,653,230,213,210
142,MNST,2022-04-18,1159,515,344,300
143,MRNA,2022-04-18,1100,500,300,300
144,MTCH,2022-04-18,945,245,389,311
145,MPWR,2022-04-18,852,330,287,235
146,MSFT,2022-04-27,1533,715,443,375
147,MU,2022-04-18,1160,530,330,300
148,NDAQ,2022-04-18,1115,505,310,300
149,NTRS,2022-04-18,701,250,226,225
150,NWL,2022-04-18,1143,525,303,315
151,NVDA,2022-04-18,899,323,301,275
152,ALLK,2022-06-10,773,200,273,300
153,NWSA,2022-04-18,1109,509,300,300
154,ODFL,2022-04-18,1170,467,423,280
155,PCAR,2022-04-18,1216,568,343,305
156,NXPI,2022-04-18,1139,505,329,305
157,ORLY,2022-04-18,1100,500,300,300
158,PAYX,2022-07-26,1000,500,300,200
159,PFG,2022-04-18,1175,555,320,300
160,ROST,2022-04-19,1000,375,325,300
161,SBAC,2022-04-19,716,250,251,215
162,QCOM,2022-04-19,1009,409,300,300
163,POOL,2022-04-18,1144,525,306,313
164,PEP,2022-04-18,1417,719,340,358
165,SBUX,2022-04-19,1155,475,385,295
166,REG,2022-04-19,1312,575,372,365
167,QRVO,2022-04-19,1150,535,310,305
168,PTC,2022-04-19,1160,550,302,308
169,PENN,2022-04-18,891,371,300,220
170,PYPL,2022-04-18,899,370,244,285
171,REGN,2022-04-19,1137,505,327,305
172,AMGN,2022-04-16,1215,575,312,328
173,SNPS,2022-04-19,1156,525,316,315
174,STX,2022-04-19,1195,540,355,300
175,TECH,2022-04-16,1078,510,268,300
176,TER,2022-04-19,1150,507,328,315
177,SWKS,2022-04-19,1088,515,303,270
178,TRMB,2022-04-19,1280,550,415,315
179,TROW,2022-04-19,1145,510,325,310
180,TTWO,2022-04-19,842,225,307,310
181,TSLA,2022-04-19,993,555,160,278
182,TSCO,2022-09-17,1000,500,300,200
183,TXN,2022-04-19,1100,500,300,300
184,TMUS,2022-04-19,903,342,331,230
185,UAL,2022-04-19,629,205,203,221
186,VRSK,2022-04-19,1281,615,366,300
187,ULTA,2022-04-19,647,205,242,200
188,VRTX,2022-04-19,1100,500,300,300
189,VTRS,2022-09-24,1000,500,300,200
